,precip
1918-01-31,0.899999976158
1918-02-01,0.0
1918-02-02,0.0
1918-02-03,0.0
1918-02-04,0.0
1918-02-05,0.0
1918-02-06,0.0
1918-02-07,6.09999990463
1918-02-08,1.04999995232
1918-02-09,0.0
1918-02-10,0.0
1918-02-11,0.0
1918-02-12,0.0
1918-02-13,2.17499995232
1918-02-14,3.77500009537
1918-02-15,0.27500000596
1918-02-16,0.0
1918-02-17,1.02499997616
1918-02-18,28.375
1918-02-19,0.824999988079
1918-02-20,0.0
1918-02-21,0.0
1918-02-22,2.59999990463
1918-02-23,0.15000000596
1918-02-24,2.02500009537
1918-02-25,5.44999980927
1918-02-26,0.0
1918-02-27,0.0
1918-02-28,0.0500000007451
1918-03-01,0.0
1918-03-02,0.0
1918-03-03,0.0
1918-03-04,0.17499999702
1918-03-05,0.0
1918-03-06,0.125
1918-03-07,5.84999990463
1918-03-08,0.625
1918-03-09,0.0
1918-03-10,0.0
1918-03-11,0.824999988079
1918-03-12,4.75
1918-03-13,6.34999990463
1918-03-14,0.0
1918-03-15,0.0
1918-03-16,0.0
1918-03-17,0.5
1918-03-18,0.22499999404
1918-03-19,0.20000000298
1918-03-20,0.0250000003725
1918-03-21,0.0750000029802
1918-03-22,0.0
1918-03-23,0.0
1918-03-24,0.0
1918-03-25,0.0
1918-03-26,0.0
1918-03-27,1.57500004768
1918-03-28,0.0
1918-03-29,0.0
1918-03-30,0.0
1918-03-31,0.0
1918-04-01,0.0
1918-04-02,4.27500009537
1918-04-03,0.824999988079
1918-04-04,0.22499999404
1918-04-05,0.0
1918-04-06,0.0
1918-04-07,5.25
1918-04-08,0.0
